City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
284,Lianzhou,CN,24.7811,112.3825,77.95,74,88,0.69,overcast clouds
285,Aanekoski,FI,62.6946,25.818,28.47,100,31,2.44,scattered clouds
286,Tura,IN,25.5198,90.2201,71.73,64,2,3.51,clear sky
287,Emporia,US,38.4039,-96.1817,32.2,51,100,5.75,overcast clouds
288,Winneba,GH,5.3511,-0.6231,77.23,82,87,3.56,overcast clouds
289,Arman,RU,59.7,150.1667,-1.57,79,6,7.85,clear sky
290,Consolacion Del Sur,CU,22.5047,-83.5136,70.45,83,14,8.37,few clouds
291,Quito,EC,-0.2299,-78.5249,49.15,89,100,2.01,overcast clouds
292,Norman Wells,CA,65.282,-126.8329,9.5,79,54,3.0,broken clouds
293,Ware,GB,51.8126,-0.0283,48.67,88,75,12.66,broken clouds
294,Stromness,GB,58.965,-3.296,46.36,87,100,23.0,light rain
295,Takoradi,GH,4.8845,-1.7554,77.68,83,95,5.03,overcast clouds
296,Agde,FR,43.3108,3.4758,55.26,97,0,2.3,clear sky
297,Saint-Louis,SN,16.3333,-15.0,81.25,18,19,9.01,few clouds
298,Buin,CL,-33.7333,-70.75,72.73,62,5,1.88,clear sky
299,Bambous Virieux,MU,-20.3428,57.7575,76.21,77,20,3.44,few clouds
300,Lumeje,AO,-11.55,20.7833,64.54,93,60,3.27,light rain
301,Kununurra,AU,-15.7667,128.7333,96.78,41,26,10.36,scattered clouds
302,Nata,PA,8.3333,-80.5167,75.92,92,100,1.25,moderate rain
303,Sal Rei,CV,16.1833,-22.9167,77.7,83,19,12.37,few clouds
304,Madaoua,NE,14.073,5.96,69.42,19,71,9.37,broken clouds
305,Touros,BR,-5.1989,-35.4608,78.01,74,12,13.6,few clouds
306,Gdov,RU,58.7406,27.8122,26.42,84,71,11.39,broken clouds
307,Bam,IR,29.106,58.357,66.13,40,100,5.7,overcast clouds
308,Yarmouth,US,41.7057,-70.2286,40.01,56,0,25.99,clear sky
309,Coahuayana,MX,18.7333,-103.6833,75.04,93,1,2.55,clear sky
310,North Bend,US,43.4065,-124.2243,47.91,87,75,9.22,broken clouds
311,Koupela,BF,12.1794,-0.3517,72.39,25,7,8.05,clear sky
312,Amapa,BR,1.0,-52.0,73.78,90,100,3.24,overcast clouds
313,Ihosy,MG,-22.4,46.1167,67.5,84,18,3.42,few clouds
314,Porto Santo,PT,33.072,-16.3415,70.18,78,40,11.5,scattered clouds
315,Carolina,PR,18.3808,-65.9574,80.76,91,40,4.61,scattered clouds
316,Tevaitoa,PF,-16.7833,-151.5,80.08,70,25,1.59,scattered clouds
317,Palmares Do Sul,BR,-30.2578,-50.5097,64.87,84,43,8.08,scattered clouds
318,Buala,SB,-8.145,159.5921,83.62,73,83,4.25,light rain
319,Ambulu,ID,-8.345,113.6058,78.26,87,100,1.19,overcast clouds
