City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
414,Makurdi,NG,75.38,broken clouds,7.7411,8.5121,Doo Palace Hotel
416,Pangkalanbuun,ID,78.33,light rain,-2.6833,111.6167,Grand Kecubung Hotel
418,Harper,LR,77.31,light rain,4.375,-7.7169,Screensaver
422,Wagar,SD,75.65,clear sky,16.1525,36.2032,
423,Ko Samui,TH,84.11,few clouds,9.5357,99.9357,The Passage
424,Laem Sing,TH,89.96,overcast clouds,12.4816,102.0738,Laem Sing Whitehouse Resort
426,Charters Towers,AU,87.93,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
433,San Pedro,PH,86.36,light intensity shower rain,14.35,121.0167,Palines Apartment and Guesthouse
437,Biloela,AU,85.64,few clouds,-24.4167,150.5,Silo Motor Inn Biloela
439,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
442,Bandarbeyla,SO,76.33,clear sky,9.4942,50.8122,JABIR HOTEL
445,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
446,Salinopolis,BR,78.89,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
448,Camocim,BR,78.49,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
453,Makakilo City,US,80.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
454,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
462,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
463,Lahat,ID,88.74,overcast clouds,-3.8,103.5333,Bukit Serelo Hotel
469,Wanning,CN,81.45,few clouds,18.8003,110.3967,Paradise Hotel
474,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
486,Sibolga,ID,81.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
487,Taganak,PH,89.74,broken clouds,6.0833,118.3,Taganak
493,Bonthe,SL,77.14,broken clouds,7.5264,-12.505,Bonthe Holiday Village
496,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
501,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
506,Bacolod,PH,79.36,light rain,10.6667,122.95,Planta Hotel & Residences
510,Calamar,CO,76.03,overcast clouds,10.2511,-74.9146,Hostal Katyalex
512,Conakry,GN,81.3,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
525,Tautira,PF,76.3,light rain,-17.7333,-149.15,Pension Oaoa
543,Tingloy,PH,81.7,overcast clouds,13.6609,120.8711,Sea Spring Resort
550,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
552,Corn Island,NI,82.8,overcast clouds,12.1694,-83.0418,Big Fish Guest House
556,Lom Sak,TH,87.69,few clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
566,Ciudad Bolivar,VE,77.0,overcast clouds,8.1222,-63.5497,Hotel Edi
581,Gigmoto,PH,81.09,overcast clouds,13.7796,124.39,Cj's Travellers Inn
582,Vaitape,PF,79.0,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
588,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
597,Oriximina,BR,78.48,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
598,Kalmunai,LK,79.21,overcast clouds,7.4167,81.8167,VS Villa
603,Sampit,ID,77.14,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
607,Nabire,ID,85.19,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
610,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
